報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,申報注意事項
AW/14/557/G0674,188,4550480450865,Earrings Set - 03 SI-,7117.19.00.00-5,,
AW/14/557/G0674,189,4550480450889,Earrings Set 02 - GD-,7117.19.00.00-5,,
AW/14/557/G0674,190,4550480450896,Earrings Set - 01 PG-,7117.19.00.00-5,,
AW/14/557/G0674,191,4550480450902,Earrings Set - 01 SI-,7117.19.00.00-5,,
AW/14/557/G0674,192,4550480451237,Earrings Set - 16- GD-,7117.19.00.00-5,,
AW/14/557/G0674,193,4571178832824,Set pierce 12P Metal Silver color,7117.19.00.00-5,,
AW/14/557/G0674,194,4571178832848,Set pierce 12P Elegant Gold color,7117.19.00.00-5,,
AW/14/557/G0674,195,4571178832862,Set pierce 12P Girly Pink Gold color,7117.19.00.00-5,,
AW/14/557/G0674,196,4571178832886,Set pierce 12P Space Silver color,7117.19.00.00-5,,
AW/14/557/G0674,197,4550480505206,Hair Clip - Chain WH-,9615.19.00.00-8,,
AW/14/557/G0674,198,4550480505213,Hair Clip- Chain BK,9615.19.00.00-8,,
AW/14/557/G0674,199,4571178833067,Claw clip Metal Cross MBK,9615.19.00.00-8,,
AW/14/557/G0674,200,4571178833081,Claw clip Metal Cross MGD,9615.19.00.00-8,,
AW/14/557/G0674,201,4571178833111,Claw clip Metal Curve MBK,9615.19.00.00-8,,
AW/14/557/G0674,202,4571178833128,Claw clip Metal Curve MGD,9615.19.00.00-8,,
AW/14/557/G0674,203,4571178833142,Claw clip Metal Wave cross line MBK,9615.19.00.00-8,,
AW/14/557/G0674,204,4571178833159,Claw clip Metal Wave cross line MGD,9615.19.00.00-8,,
AW/14/557/G0674,205,4571178833173,Claw clip Metal Nuance curve MBK,9615.19.00.00-8,,
AW/14/557/G0674,206,4571178833180,Claw clip Metal Nuance curve MGD,9615.19.00.00-8,,
AW/14/557/G0674,207,4571178833197,Claw clip Metal Nuance curve MSV,9615.19.00.00-8,,
AW/14/557/G0674,208,4571178838062,Quilting style mini claw clip set BK,9615.11.00.00-6,,
AW/14/557/G0674,209,4571178838079,Quilting style mini claw clip set BR,9615.11.00.00-6,,
AW/14/557/G0674,210,4550480451183,Mixed Hair Tie -BE 6pcs.-,6217.10.90.90-7,,
AW/14/557/G0674,211,4550480451213,Coiled Hair Tie -3pcs.-,9615.11.00.00-6,,
AW/14/557/G0674,212,4550480561981,Scrunchie - With Charm - NV-,6217.10.90.90-7,,
AW/14/557/G0674,213,4571178833500,Set scrunchie Chiffon & shiny Pearl style PK,6217.10.90.90-7,,
AW/14/557/G0674,214,4571178833524,Set scrunchie Chiffon & shiny Pearl style BK,6217.10.90.90-7,,
AW/14/557/G0674,215,4571178837379,Scrunchie Double Satin & Fake pearl BE,6117.80.99.00-3,,
AW/14/557/G0674,216,4571178837386,Scrunchie Double Satin & Fake pearl PK,6117.80.99.00-3,,
